role,catalog_model,external_model,internal_model,part_no,part_family,in_0922,notes
reader,ASR2101A,DHI-ASR2101A,DHI-ASR2101A,1.0.01.25.11198-0015,门禁/考勤 Access Control,yes,catalog p44; IC touch keypad IP66
reader,ASR2101A-D,DHI-ASR2101A-D,DHI-ASR2101A-D,1.0.01.25.11199-0006,门禁/考勤 Access Control,yes,catalog p44; ID touch keypad
reader,ASR2100A-ME,DHI-ASR2100A-ME,DHI-ASR2100A-ME,1.0.01.25.11237-9001,门禁/考勤 Access Control,yes,catalog p44; IC/ID combo
reader,ASR2101A-ME,DHI-ASR2101A-ME,DHI-ASR2101A-ME,1.0.01.25.11240-0012,门禁/考勤 Access Control,yes,catalog p44; IC/ID keypad; 40-door poster
reader,ASR2102A,DHI-ASR2102A,DHI-ASR2102A,1.0.01.25.11204-0010,门禁/考勤 Access Control,yes,catalog p44; Fingerprint+card 3k FP; 64-door poster
reader,ASR2102A-D,DHI-ASR2102A-D,DHI-ASR2102A-D,1.0.01.25.11205-0004,门禁/考勤 Access Control,yes,catalog p44; Fingerprint+ID
standalone_rf,ASI2212H-W,DHI-ASI2212H-W,DHI-ASI2212H-W,1.0.01.25.11365-0012,门禁/考勤 Access Control,yes,"catalog p45; 2.4"" IC+FP 30k users IP65"
standalone_rf,ASI2212H-DW,DHI-ASI2212H-DW,DHI-ASI2212H-DW,1.0.01.25.11364-0010,门禁/考勤 Access Control,yes,"catalog p45; 2.4"" ID+FP"
standalone_rf,ASI2201H-W,DHI-ASI2201H-W,DHI-ASI2201H-W,1.0.01.25.11391-0011,门禁/考勤 Access Control,yes,"catalog p45; 2.4"" IC 30k IP65"
standalone_rf,ASI2201H-DW,DHI-ASI2201H-DW,DHI-ASI2201H-DW,1.0.01.25.11390-9001,门禁/考勤 Access Control,yes,"catalog p45; 2.4"" ID 30k"
standalone_rf,ASI1212F,DHI-ASI1212F,DHI-ASI1212F,1.0.01.25.10929,门禁/考勤 Access Control,yes,"catalog p46; 2.8"" IC+FP"
standalone_rf,ASI1201E,DHI-ASI1201E,DHI-ASI1201E,1.0.01.25.10486,门禁/考勤 Access Control,yes,catalog p46; IC no screen
standalone_rf,ASI1201A,DHI-ASI1201A,DHI-ASI1201A,1.0.01.25.10013,门禁/考勤 Access Control,yes,catalog p46; LCD IC
standalone_rf,ASI1201A-D,ASI1201A-D,ASI1201A-D,1.0.01.25.10123,门禁/考勤 Access Control,yes,catalog p46; LCD ID
standalone_rf,ASI1202M,DHI-ASI1202M,DHI-ASI1202M,1.0.01.25.10855,门禁/考勤 Access Control,yes,catalog p46; IC+FP IK10 IP65
attendance,ASA3213GL-MW,DHI-ASA3213GL-MW,DHI-ASA3213GL-MW,1.0.01.25.11070,门禁/考勤 Access Control,yes,"catalog p47; 4.3"" face 500 users + AC basic"
attendance,ASA1222EL-S,DHI-ASA1222E-S,DHI-ASA1222EL-S,1.0.01.25.11954-9004,门禁/考勤 Access Control,yes,"catalog p48; 2.4"" FP USB standalone"
attendance,ASA1222GL-D,DHI-ASA1222GL-D,DHI-ASA1222GL-D,1.0.01.25.11912-9005,门禁/考勤 Access Control,yes,"catalog p48; 2.4"" FP+IC/ID + battery"
turnstile,ASGG520T,DHI-ASGG520T,DHI-ASGG520T,1.0.01.25.11467-9001,门禁/考勤 Access Control,yes,catalog p49; Tripod outdoor catalog family ASGG5
turnstile,ASGY510C-L,DHI-ASGY510C-L,DHI-ASGY510C-L,1.0.01.25.12246-9001,门禁/考勤 Access Control,yes,catalog p49; Flap catalog family ASGY5
turnstile,ASGB810X-L,DHI-ASGB810X-L,DHI-ASGB810X-L,1.0.01.25.11007-9001,门禁/考勤 Access Control,yes,catalog p50; Swing indoor catalog family ASGB8
turnstile,ASGB610X-L,DHI-ASGB610X-L,DHI-ASGB610X-L,1.0.01.25.11121-9001,门禁/考勤 Access Control,yes,catalog p50; Swing catalog family ASGB6
lock,ASF280A,DHI-ASF280A,DHI-ASF280A,1.2.01.27.10287,电锁/门禁配件,yes,catalog p51; Maglock 280kg single 1.2.01.27
lock,ASF500A,DHI-ASF500A,DHI-ASF500A,1.2.01.27.10291,电锁/门禁配件,yes,catalog p51; Maglock 500kg single
lock,ASF280B,DH-ASF280B,DH-ASF280B,1.2.01.27.10254,电锁/门禁配件,yes,catalog p51; Maglock 280kg double
lock,ASF500B,DHI-ASF500B,DHI-ASF500B,1.2.01.27.10292,电锁/门禁配件,yes,catalog p51; Maglock 500kg double
lock,ASF802,DHI-ASF802,DHI-ASF802,1.2.01.27.10289,电锁/门禁配件,yes,catalog p51; Drop-bolt
lock,ASF601A,DHI-ASF601A,DHI-ASF601A,1.2.01.27.10293,电锁/门禁配件,yes,catalog p51; Electric strike
enrollment,ASM100-V1,DHI-ASM100,DHI-ASM100-V1,1.0.01.25.11420-0017,门禁/考勤 Access Control,yes,catalog p51; USB card enrollment
enrollment,ASM101A,DHI-ASM101A,DHI-ASM101A,1.0.01.25.11209-0014,门禁/考勤 Access Control,yes,catalog p51; USB fingerprint enrollment
enrollment,ASM202,DHI-ASM202,DHI-ASM202,1.0.01.25.10475,门禁/考勤 Access Control,yes,catalog p51; 3-in-1 enrollment
